isperson,iscycle,iscar,istruck,xmin,ymin,xmax,ymax,zloc,imageName
0,0,1,0,0.734,0.534,0.998,0.998,0.26863574636281906,simpleframe1634155536547
0,0,1,0,0,0.534,0.28,0.998,0.12195112632548363,simpleframe1634157012487
0,0,1,0,0,0.522,0.218,0.834,0.28529662470993983,simpleframe1634157059535
0,0,1,0,0,0.556,0.04,0.73,0.24988657467170391,simpleframe1634157080736
0,0,1,0,0.664,0.52,0.842,0.66,0.22241193318434724,simpleframe1634157696205
0,0,1,0,0.586,0.528,0.898,0.804,0.14993572250712353,simpleframe1634157717932
0,0,1,0,0.586,0.528,0.898,0.804,0.1499354092951443,simpleframe1634157739247
0,0,1,0,0.492,0.52,0.658,0.612,0.25593902420730663,simpleframe1634157739247
0,0,1,0,0.586,0.528,0.898,0.804,0.14993540955815857,simpleframe1634157760818
0,0,1,0,0.444,0.522,0.644,0.634,0.2255554988088204,simpleframe1634157760818
0,0,1,0,0.586,0.528,0.898,0.804,0.1499354093189668,simpleframe1634157782568
0,0,1,0,0.444,0.522,0.644,0.634,0.22555549882228057,simpleframe1634157782568
0,0,1,0,0.586,0.528,0.898,0.804,0.14993540923647536,simpleframe1634157803903
0,0,1,0,0.444,0.522,0.644,0.634,0.22555549882641313,simpleframe1634157803903
0,0,1,0,0.586,0.528,0.898,0.804,0.14993540917756765,simpleframe1634157826383
0,0,1,0,0.444,0.522,0.644,0.634,0.22555549882856873,simpleframe1634157826383
0,0,1,0,0.586,0.528,0.898,0.804,0.14993540922463622,simpleframe1634157848060
0,0,1,0,0.444,0.522,0.644,0.634,0.2255554988294657,simpleframe1634157848060
0,0,1,0,0.586,0.528,0.898,0.804,0.14993540949938988,simpleframe1634157869731
0,0,1,0,0.444,0.522,0.644,0.634,0.2255554988183313,simpleframe1634157869731
0,0,1,0,0.586,0.528,0.898,0.804,0.14993540927966212,simpleframe1634157890938
0,0,1,0,0.444,0.522,0.644,0.634,0.22555549882461523,simpleframe1634157890938
0,0,1,0,0.586,0.528,0.898,0.804,0.1499354092048405,simpleframe1634157911986
0,0,1,0,0.444,0.522,0.644,0.634,0.22555549882766962,simpleframe1634157911986
0,0,1,0,0.586,0.528,0.898,0.804,0.14993540933828375,simpleframe1634157933037
0,0,1,0,0.444,0.522,0.644,0.634,0.2255554988228198,simpleframe1634157933037
0,0,1,0,0.586,0.528,0.9,0.806,0.14993540924404858,simpleframe1634157954423
0,0,1,0,0.444,0.522,0.644,0.634,0.22555549882730996,simpleframe1634157954423
0,0,1,0,0.146,0.522,0.392,0.654,0.26685400665519793,simpleframe1634160792939
0,0,1,0,0,0.532,0.332,0.928,0.2084576571230988,simpleframe1634160820786
0,0,1,0,0.188,0.522,0.386,0.636,0.2907787557863719,simpleframe1634160820786
0,0,1,0,0,0.532,0.332,0.928,0.13491198542438487,simpleframe1634160848844
0,0,1,0,0.188,0.522,0.386,0.638,0.21302749658724263,simpleframe1634160848844
0,0,1,0,0,0.532,0.332,0.928,0.13490903988259542,simpleframe1634160876683
0,0,1,0,0.188,0.522,0.386,0.638,0.21302424003046386,simpleframe1634160876683
0,0,1,0,0,0.532,0.332,0.928,0.13490902352341322,simpleframe1634160905241
0,0,1,0,0.188,0.522,0.386,0.638,0.21302422193460174,simpleframe1634160905241
0,0,1,0,0,0.532,0.336,0.89,0.1387640208636235,simpleframe1634160934566
0,0,1,0,0,0.532,0.336,0.89,0.1387642337354897,simpleframe1634160963882
0,0,1,0,0,0.528,0.36,0.762,0.16074799520491667,simpleframe1634160992327
0,0,1,0,0,0.526,0.36,0.762,0.16075580306508505,simpleframe1634161021017
0,0,1,0,0.408,0.504,0.594,0.688,0.2160876040660971,simpleframe1634167960758
0,0,1,0,0,0.522,0.146,0.734,0.24537676704352973,simpleframe1634167960758
0,0,1,0,0.434,0.504,0.566,0.636,0.21229314556772202,simpleframe1634167990666
0,0,1,0,0.114,0.524,0.362,0.674,0.18419360359458942,simpleframe1634168021190
0,0,1,0,0.434,0.504,0.566,0.636,0.21234372552634997,simpleframe1634168021190
0,0,1,0,0.41,0.506,0.59,0.684,0.21234364923403695,simpleframe1634168051895
0,0,1,0,0.19,0.51,0.808,0.996,0.1714577851903528,simpleframe1634168082310
0,0,1,0,0.19,0.51,0.808,0.996,0.09844026941095958,simpleframe1634168112839
0,0,1,0,0.19,0.51,0.808,0.996,0.09844026943931833,simpleframe1634168145136
0,0,1,0,0.662,0.534,0.998,0.754,0.1533977624587113,simpleframe1634168176780
0,0,1,0,0.19,0.51,0.808,0.996,0.09844026943318085,simpleframe1634168176780
0,0,1,0,0.266,0.508,0.73,0.946,0.10904920753118881,simpleframe1634168208756
0,0,1,0,0.446,0.504,0.552,0.604,0.2883518056366381,simpleframe1634168240813
0,0,1,0,0,0.524,0.012,0.66,0.17776170021365975,simpleframe1634168272906
0,0,1,0,0,0.58,0.146,0.998,0.10339779802680163,simpleframe1634169235805
0,0,1,0,0,0.58,0.146,0.998,0.1033977980215662,simpleframe1634169268665
0,0,1,0,0.228,0.504,0.434,0.624,0.23431186618110522,simpleframe1634169701755
0,0,1,0,0.204,0.52,0.46,0.642,0.24968367732024951,simpleframe1634169758477
0,0,1,0,0,0.536,0.324,0.804,0.14184599594964253,simpleframe1634170252351
0,0,1,0,0.048,0.564,0.252,0.704,0.13579147819027845,simpleframe1634170287536
0,0,1,0,0.332,0.538,0.666,0.836,0.15605223810594568,simpleframe1634171569535
0,0,1,0,0.332,0.538,0.666,0.836,0.11729238325456713,simpleframe1634171606711
0,0,1,0,0.396,0.53,0.598,0.704,0.1559911217805145,simpleframe1634171644266
0,0,1,0,0.336,0.532,0.66,0.824,0.2269326734656818,simpleframe1634171682446
0,0,1,0,0.452,0.506,0.542,0.552,0.2955917099595155,simpleframe1634171720910
0,0,1,0,0.336,0.538,0.66,0.828,0.11891686968549059,simpleframe1634171720910
0,0,1,0,0.452,0.506,0.542,0.552,0.29554639093934193,simpleframe1634171759071
0,0,1,0,0.336,0.538,0.66,0.828,0.1188716208181508,simpleframe1634171759071
0,0,1,0,0.452,0.506,0.542,0.552,0.2955463909370741,simpleframe1634171796693
0,0,1,0,0.336,0.538,0.66,0.828,0.11887162073704192,simpleframe1634171796693
0,0,1,0,0.452,0.506,0.542,0.552,0.29554639093692286,simpleframe1634171834369
0,0,1,0,0.336,0.538,0.66,0.828,0.11887162073163333,simpleframe1634171834369
0,0,1,0,0.452,0.506,0.542,0.552,0.2955463909408542,simpleframe1634171871469
0,0,1,0,0.336,0.538,0.66,0.828,0.11887162087222947,simpleframe1634171871469
0,0,1,0,0.336,0.538,0.66,0.828,0.11887162073163333,simpleframe1634171908797
0,0,1,0,0.404,0.53,0.592,0.69,0.1653757268795679,simpleframe1634171946724
0,0,1,0,0.352,0.536,0.648,0.798,0.21101151500183626,simpleframe1634171983974
0,0,1,0,0.352,0.536,0.648,0.798,0.12489968707331953,simpleframe1634172021563
0,0,1,0,0.352,0.536,0.648,0.798,0.12489968707331953,simpleframe1634172058991
0,0,1,0,0.352,0.536,0.648,0.798,0.12489968707331953,simpleframe1634172095300
0,0,1,0,0.352,0.536,0.648,0.798,0.12489968707331953,simpleframe1634172130327
0,0,1,0,0.352,0.536,0.648,0.798,0.12489968707331953,simpleframe1634172164952
0,0,1,0,0,0.518,0.19,0.666,0.22837637636208033,simpleframe1634172164952
0,0,1,0,0.352,0.536,0.648,0.798,0.12489968707331953,simpleframe1634172199576
0,0,1,0,0.352,0.536,0.648,0.798,0.12489968707331953,simpleframe1634172231808
0,0,1,0,0.352,0.536,0.648,0.798,0.12489968707331953,simpleframe1634172265098
0,0,1,0,0.352,0.536,0.648,0.798,0.12489968707331953,simpleframe1634172298895
0,0,1,0,0.366,0.534,0.634,0.77,0.1318189349061334,simpleframe1634172332226
0,0,1,0,0.7,0.548,0.998,0.986,0.12462897095794703,simpleframe1634172332226
0,0,1,0,0.4,0.528,0.598,0.698,0.21535462953299342,simpleframe1634172365801
0,0,1,0,0.69,0.546,0.998,0.904,0.1825367998888466,simpleframe1634172365801
0,0,1,0,0.222,0.546,0.774,0.996,0.15449816755303267,simpleframe1634172398843
0,0,1,0,0.446,0.506,0.55,0.57,0.2706926356270407,simpleframe1634172431819
0,0,1,0,0.222,0.546,0.774,0.996,0.09378218803689681,simpleframe1634172431819
0,0,1,0,0.446,0.506,0.55,0.57,0.2707374952283727,simpleframe1634172464230
0,0,1,0,0.222,0.546,0.774,0.996,0.09378203585018836,simpleframe1634172464230
0,0,1,0,0.446,0.506,0.55,0.57,0.2707675541984105,simpleframe1634172496344
0,0,1,0,0.222,0.546,0.774,0.996,0.09378203566533676,simpleframe1634172496344
0,0,1,0,0.448,0.506,0.548,0.57,0.2754020480295987,simpleframe1634172529187
0,0,1,0,0.222,0.546,0.774,0.996,0.0937820356857571,simpleframe1634172529187
0,0,1,0,0.448,0.506,0.548,0.57,0.2754012853675083,simpleframe1634172561208
0,0,1,0,0.222,0.546,0.774,0.996,0.0937820356314755,simpleframe1634172561208
0,0,1,0,0.452,0.506,0.544,0.57,0.29033993196836955,simpleframe1634172593223
0,0,1,0,0.222,0.546,0.774,0.996,0.0937820356036369,simpleframe1634172593223
0,0,1,0,0.308,0.54,0.686,0.882,0.1102827175928717,simpleframe1634172624880
0,0,1,0,0.702,0.55,0.998,0.998,0.12233384366089303,simpleframe1634172624880
0,0,1,0,0.348,0.536,0.648,0.802,0.12414001182649699,simpleframe1634172656662
0,0,1,0,0.654,0.538,0.998,0.762,0.15464877248372427,simpleframe1634172656662
0,0,1,0,0.348,0.536,0.648,0.802,0.12414001167629488,simpleframe1634172686889
